age,depth,d13C,d18O
16.8105,14.334,-5.291580237,-8.509305128
16.8258,14.377,-6.268127728,-9.199738038
16.8441,14.43,-5.85991,-9.180214239
16.8536,14.458,-6.256964399,-9.210473985
16.872,14.514,-5.83681,-9.190993477
16.881,14.542,-5.60467993,-9.201253223
16.898,14.596,-5.84602,-8.851772715
16.9059,14.622,-5.815154457,-9.012032461
16.9215,14.674,-7.25169,-9.622508662
16.9291,14.7,-7.179799894,-10.02276841
16.944,14.752,-7.39746,-9.803244609
16.9513,14.778,-7.93591176,-9.893504355
16.9655,14.83,-6.89094,-9.203980556
16.973,14.858,-6.752971023,-9.884240302
16.9876,14.914,-6.06725,-9.034759794
16.9947,14.942,-5.561969542,-9.43501954
17.0082,14.996,-6.78569,-9.315539032
17.0145,15.022,-5.668147346,-9.025798778
17.0269,15.074,-6.95893,-9.446274979
17.033,15.1,-7.150135704,-9.786534725
17.0458,15.156,-7.54442,-9.727054217
17.0521,15.184,-8.028714781,-9.807313963
17.0643,15.24,-7.58226,-10.13783346
17.0699,15.266,-7.839849992,-10.2880932
17.0808,15.318,-7.6604,-10.2485694
17.0862,15.344,-7.339113532,-10.01883696
17.0971,15.398,-5.21608,-9.0793928
17.1027,15.426,-3.988720789,-8.55967072
17.1136,15.482,-3.89757,-8.74022656
17.119,15.51,-5.768056187,-9.06050448
17.1288,15.562,-5.15839,-9.061014
17.1337,15.588,-5.365532563,-9.18129192
17.1432,15.64,-7.21266,-10.81180144
17.1483,15.668,-6.856814596,-10.13207936
17.1583,15.724,-7.20747,-10.68268152
17.1633,15.752,-7.878939929,-10.22295944
17.1727,15.806,-7.41725,-9.77346896
17.1772,15.832,-7.238706267,-9.55374688
17.1861,15.884,-7.84305,-10.8742564
17.1905,15.91,-8.110149108,-10.88453432
17.1993,15.962,-7.04074,-10.26504384
17.2036,15.988,-6.825987233,-9.93532176
17.2123,16.04,-5.09196,-9.88583128
17.2167,16.066,-5.663768604,-9.8461092
17.2253,16.118,-6.2225,-9.73661872
17.2296,16.144,-6.702717686,-10.03689664
17.2385,16.198,-7.33778,-10.68745248
17.2432,16.226,-7.138296139,-10.0777304
17.2525,16.282,-7.78889,-9.61828624
17.2571,16.31,-6.801588842,-9.15856416
17.2665,16.366,-5.74224,-9.50912
17.2712,16.394,-5.905025466,-7.87939792
17.2807,16.45,-5.81553,-9.44000008
17.2851,16.476,-5.694363614,-9.26023168
17.294,16.528,-5.85149,-9.41078752
17.2985,16.554,-5.898714252,-9.13101912
17.308,16.608,-3.5247,-9.17157496
17.3129,16.636,-6.36414252,-8.87185288
17.323,16.692,-5.4937,-9.54240872
17.3281,16.72,-5.3579591,-9.20268664
17.3376,16.772,-5.16937,-9.27324248
17.3425,16.798,-7.132834138,-9.75347408
17.3524,16.85,-6.35171,-9.72402992
17.3585,16.882,-6.680347916,-10.03435416
17.3648,16.914,-7.288678294,-9.8546784
17.3712,16.946,-7.530700403,-10.22500264
17.3776,16.978,-7.046201434,-9.95528056
17.3841,17.01,-6.948950541,-9.7056048
17.3895,17.036,-7.059124289,-10.28588272
17.3949,17.062,-6.972372914,-9.94616064
17.4005,17.088,-7.249958193,-9.84639224
17.4061,17.114,-7.046348542,-9.96667016
17.4117,17.14,-6.71786254,-10.10694808
17.4179,17.168,-6.549396564,-10.087226
17.4242,17.196,-6.937455413,-10.38750392
17.4305,17.224,-7.018135983,-10.45778184
17.437,17.252,-6.778620811,-10.21810608
17.4435,17.28,-6.917210606,-10.20852296
17.4496,17.306,-6.894669623,-10.17889352
17.4559,17.332,-6.930228999,-10.42921776
17.4621,17.358,-6.70484764,-10.22958832
17.4685,17.384,-6.897506658,-9.95995888
17.4749,17.41,-6.887559643,-10.06032944
17.4818,17.438,-7.336306,-10.07074632
17.496,17.494,-7.427077123,-10.10153376
17.5031,17.522,-7.257727615,-9.80190432
17.5172,17.576,-4.620724372,-8.40269176
17.524,17.602,-5.579675099,-9.063016
17.5309,17.628,-6.572520617,-9.48338656
17.5379,17.654,-6.442933484,-9.38375712
17.5449,17.68,-5.851809843,-9.37412768
17.552,17.706,-7.114308262,-9.63449824
17.5591,17.732,-6.95554737,-9.4848688
17.5663,17.758,-7.11851964,-9.99523936
17.5735,17.784,-6.803182079,-9.74560992
17.5808,17.81,-6.32364327,-9.61598048
17.5881,17.836,-7.066154393,-9.51635104
17.5955,17.862,-8.21471558,-9.72667528
17.603,17.888,-8.27384644,-9.82704584
17.6104,17.914,-7.72775464,-10.2574164
17.618,17.94,-6.243722183,-9.74778696
17.6262,17.968,-6.440084998,-9.21820384
17.6344,17.996,-6.313403542,-9.2585744
17.6426,18.024,-6.491569369,-8.95899128
17.651,18.052,-6.836415232,-9.74936184
17.6594,18.08,-6.649119138,-9.91977872
17.6672,18.106,-6.495087861,-9.37014928
17.675,18.132,-6.950154879,-9.30047352
17.6829,18.158,-7.352885296,-10.24084408
17.6909,18.184,-7.15507474,-10.35121464
17.6989,18.21,-7.173294792,-10.1915852
17.7069,18.236,-7.485343484,-10.33195576
17.715,18.262,-7.079213427,-10.14232632
17.7231,18.288,-7.743281347,-10.65269688
17.7312,18.314,-7.9192294,-10.14306744
17.7394,18.34,-7.997168923,-10.543438
17.7489,18.37,-7.35351909,-10.08385488
17.7584,18.4,-7.240313,-10.11427176
17.768,18.43,-6.513270978,-9.32468864
17.7776,18.46,-6.466058614,-9.69510552
17.7808,18.47,-6.514673368,-9.66524448
17.7847,18.482,-6.8038,-10.64542976
17.7989,18.526,-7.34194,-10.44603192
17.8132,18.57,-8.11428,-10.07663408
17.8283,18.616,-6.05536,-10.19728256
17.8434,18.662,-8.57198,-11.38793104
17.8586,18.708,-6.73919,-9.89857952
17.8739,18.754,-7.02769,-10.269228
17.9047,18.846,-7.64204,-9.850307344
17.9202,18.892,-6.37507,-9.090841416
17.9358,18.938,-8.24217,-10.44137549
17.9514,18.984,-8.0451,-9.19190956
17.967,19.03,-5.73984,-10.65244363
17.9821,19.074,-6.55783,-10.3729777
17.9971,19.118,-7.43813,-10.32347363
18.0122,19.162,-6.89191,-10.12396955
18.0274,19.206,-7.30355,-9.724503624
18.0425,19.25,-6.67072,-10.05499955
18.0584,19.296,-7.34865,-11.82553362
18.0743,19.342,-6.34908,-9.466067692
18.0902,19.388,-7.6781,-11.14660176
18.1526,19.568,-8.05787,-11.0286999
18.1678,19.612,-7.55593,-11.40919583
18.183,19.656,-6.52227,-9.859691752
18.1983,19.7,-7.74332,-10.89022582
18.2135,19.744,-7.51872,-10.47072175
18.2287,19.788,-7.87267,-10.49121767
18.2439,19.832,-7.45997,-10.18175174
18.259,19.876,-8.19728,-10.13224767
18.2741,19.92,-8.48559,-11.18274359
18.2902,19.967,-7.91028,-11.23331581
18.3063,20.014,-6.62709,-10.38384988
18.322,20.06,-8.35795,-10.27438396
18.3366,20.103,-7.3416,-9.894918028
18.3505,20.144,-7.56632,-9.475490248
18.3643,20.185,-7.65211,-10.43598617
18.3781,20.226,-7.7276,-10.9764821
18.3919,20.267,-7.56605,-8.997016168
18.4056,20.308,-8.49088,-10.50751209
18.4192,20.349,-8.94818,-10.58804616
18.4328,20.39,-7.68061,-10.55858024
18.4463,20.431,-7.30908,-10.98911431
18.4598,20.472,-8.62597,-10.23964838
18.4731,20.513,-7.8527,-10.59018245
18.4864,20.554,-7.24318,-10.90067838
18.4997,20.595,-7.53781,-10.53121245
18.5128,20.636,-6.93333,-10.64170837
18.5259,20.677,-8.28048,-11.3222043
18.5389,20.718,-7.41573,-10.71273837
18.5517,20.759,-7.7907,-10.45327244
18.5649,20.801,-7.51105,-10.98380651
18.5776,20.842,-7.07163,-10.48434058
18.5902,20.883,-7.2055,-10.10533334
18.6027,20.924,-8.2216,-10.82667517
18.628,21.008,-7.23504,-10.22964637
18.6405,21.05,-7.28937,-10.31117989
18.6528,21.092,-8.10547,-10.12271341
18.6651,21.134,-7.73462,-10.14415108
18.6772,21.176,-7.99213,-10.36520538
18.6894,21.2189,-8.01197,-10.48625967
18.7019,21.2629,-8.32379,-10.78731397
18.71,21.292,-8.20649,-10.31836826
18.7234,21.34043,-8.15014,-10.21942256
18.7496,21.4372905,-7.28987,-10.53201037
18.7624,21.4857205,-8.19714,-10.93325636
18.775,21.5341505,-8.94948,-10.34459819
18.7874,21.5825805,-8.77459,-10.51584417
18.7996,21.6310105,-7.62869,-10.52680262
18.8116,21.6794405,-7.91193,-11.30747354
18.8233,21.7278705,-8.2063,-11.10804861
18.8349,21.7763005,-8.42771,-11.91862368
18.8463,21.8247305,-8.26741,-11.30929459
18.8576,21.8731605,-7.90677,-10.34986966
18.8688,21.9215905,-6.61742,-9.42044473
18.8798,21.9700205,-6.32843,-9.6310198
18.8907,22.0184505,-6.76154,-9.91159487
18.9014,22.0668805,-7.58266,-10.26216994
18.9121,22.1153105,-7.14155,-10.30284086
18.9227,22.1637405,-6.97681,-9.40404902
18.9541,22.3090305,-7.10637,-9.48759842
18.9644,22.3574605,-6.87658,-9.75884071
18.9747,22.4058905,-7.70116,-11.62990553
18.9849,22.4543205,-6.5288,-9.72097035
18.9952,22.5027505,-7.64142,-9.34221264
19.0054,22.5511805,-6.28486,-9.58327746
19.0157,22.5996105,-6.9847,-9.58434228
19.0259,22.6480405,-7.20846,-9.7954071
19.0362,22.6964705,-6.25457,-9.37647192
19.0465,22.7449005,-5.58966,-9.54753674
19.0672,22.8417605,-6.30067,-10.09913397
19.0776,22.8901905,-7.21126,-10.29090867
19.0882,22.9386205,-7.47054,-9.80215096
19.1202,23.0839105,-7.38184,-10.1642806
19.1422,23.1807705,-7.324158656,-10.32765253
19.1533,23.2292005,-6.38998875,-10.13871735
